rank,client_hash_id,content_hash_id,predicted_decline_prob,baseline_score,content_archetype,recommended_action,priority_tier,effort_hours_assumption,safety_guardrail,gsc_impressions_apr,gsc_clicks_apr,gsc_avg_position_apr,ga4_pageviews_apr,reason_codes
12,client_23a62021009f63c4,content_1ea8cbd88828d842,0.7996958496776919,2.2333333333333334,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,2546.0,11.0,40.345176706206225,23.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
13,client_f623b01661d4bfe4,content_b49f74ac9e13e0f5,0.7953916265131495,2.3666666666666667,General Higher-Decline-Risk Review,Prioritize for diagnostic review of recent traffic trends and on-page content.,P1_High_Priority,3.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,1719.0,17.0,49.37328705625059,22.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
14,client_62f4a7e64f5e0096,content_f107e54b10b43725,0.7940992730522534,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,213514.0,661.0,4.1162540872282065,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
15,client_20259bd6705d81d4,content_804e7bc289c6347e,0.7934233761355576,2.2666666666666666,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,18240.0,10.0,37.85059064036708,10.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND | HIGH_W04_BASELINE_SIGNAL
16,client_62f4a7e64f5e0096,content_765403788e6d6813,0.7927274845329803,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,29792.0,591.0,3.778683744510963,0.0,HIGH_MODEL_DECLINE_RISK | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
17,client_e5c2aa26a8598242,content_6be250b9619dc292,0.7886039506184502,2.1,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,32462.0,15.0,28.563859077812783,4.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND | HIGH_W04_BASELINE_SIGNAL
18,client_e5c2aa26a8598242,content_53f5775a61739fbf,0.788566326083842,2.533333333333333,General Higher-Decline-Risk Review,Prioritize for diagnostic review of recent traffic trends and on-page content.,P1_High_Priority,3.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,5912.0,31.0,39.49778719564211,39.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
19,client_a80fca3f171ed1de,content_ebe5c438a3df421c,0.7884726827811346,1.8666666666666667,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,12823.0,11.0,30.25387883420952,9.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
20,client_e547b89c05043229,content_9fd0e9e1548758b6,0.7838798225849125,2.3666666666666667,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,9113.0,18.0,38.09884826639767,18.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
21,client_e5c2aa26a8598242,content_37d8fac68a8797e3,0.7837972380633834,2.7,General Higher-Decline-Risk Review,Prioritize for diagnostic review of recent traffic trends and on-page content.,P1_High_Priority,3.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,30981.0,34.0,41.91447891508668,41.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
22,client_23a62021009f63c4,content_392abd14d5a146ea,0.7825978324878475,2.2,General Higher-Decline-Risk Review,Prioritize for diagnostic review of recent traffic trends and on-page content.,P1_High_Priority,3.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,26061.0,10.0,52.25207080787773,18.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
23,client_62f4a7e64f5e0096,content_7172a7fad43f0998,0.7801069808107955,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,179909.0,412.0,6.088822955234876,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
24,client_8ddc46da5414ffd8,content_3a6a346a5b5ba27b,0.7799588481032662,0.7307692307692307,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,14830.0,360.0,5.370254853501234,0.0,HIGH_MODEL_DECLINE_RISK | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
25,client_e5c2aa26a8598242,content_7af5d7332459849c,0.7768352215671936,2.2,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,5704.0,13.0,33.32654184727916,13.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND | HIGH_W04_BASELINE_SIGNAL
26,client_e5c2aa26a8598242,content_60dc8105828076c6,0.7758495845356593,2.5,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,5418.0,26.0,34.61203278964035,20.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
27,client_62f4a7e64f5e0096,content_05a5a72b3448f6e8,0.7757740824805082,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,136528.0,470.0,4.081027850018785,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
28,client_e547b89c05043229,content_d1e3ad5bedf64dd6,0.7757422291424347,2.3333333333333335,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,2926.0,14.0,32.81145701752464,12.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
29,client_20259bd6705d81d4,content_9d72beee0dffbc0f,0.7754410347373296,2.3,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,20144.0,13.0,36.97698476622871,15.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
30,client_20259bd6705d81d4,content_0e2a5a7277faf80d,0.7750018706600132,2.4,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,4005.0,13.0,34.42103339648649,15.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
31,client_e547b89c05043229,content_4ace01f5d70d02f8,0.7748779154095389,2.1,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,4131.0,13.0,34.30947167661934,6.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND | HIGH_W04_BASELINE_SIGNAL
32,client_08a6a72ff48e62c0,content_ca0aa83ba028d4a2,0.7744091761250056,1.0333333333333334,Striking Distance / Search Visibility,"Review title/meta alignment, search intent, SERP competition, and page structure.",P1_High_Priority,2.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,40183.0,258.0,8.457793146172401,0.0,HIGH_MODEL_DECLINE_RISK | STRIKING_DISTANCE_POS_8_20 | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
33,client_e547b89c05043229,content_0ca0363d31ec62c3,0.7742228276499937,2.2,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,9138.0,21.0,32.30481781101712,15.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
34,client_8ddc46da5414ffd8,content_595f88fcc9e91895,0.7741681334581582,1.2941176470588236,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,2167.0,14.0,30.598911833437185,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
35,client_8ddc46da5414ffd8,content_f2c2c58af8625027,0.7741450113699735,0.8275862068965517,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,25955.0,421.0,3.540033139770788,0.0,HIGH_MODEL_DECLINE_RISK | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
36,client_20259bd6705d81d4,content_c48f130f7bbaf8c5,0.7739781431882816,2.566666666666667,General Higher-Decline-Risk Review,Prioritize for diagnostic review of recent traffic trends and on-page content.,P1_High_Priority,3.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,16847.0,26.0,38.98344991398265,25.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
37,client_20259bd6705d81d4,content_d4fc7bb08cffa591,0.7735058257233571,1.5,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,7772.0,11.0,35.25906132742546,16.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
38,client_20259bd6705d81d4,content_4abb30b37f36eb56,0.7704599546153722,2.3333333333333335,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,17387.0,10.0,34.95942864314112,13.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND | HIGH_W04_BASELINE_SIGNAL
39,client_20259bd6705d81d4,content_ef28f2f33cee2feb,0.7698036863823796,2.433333333333333,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,4994.0,16.0,34.91317653833035,21.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
40,client_8ddc46da5414ffd8,content_fecf0fa0321854fa,0.7687114512650558,1.1724137931034482,Striking Distance / Search Visibility,"Review title/meta alignment, search intent, SERP competition, and page structure.",P1_High_Priority,2.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,17866.0,173.0,10.14167087924612,0.0,HIGH_MODEL_DECLINE_RISK | STRIKING_DISTANCE_POS_8_20 | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
41,client_8ddc46da5414ffd8,content_dbba7b14aba8576e,0.7687091955303419,1.5172413793103448,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,3875.0,14.0,30.16779613066915,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
42,client_62f4a7e64f5e0096,content_16b0867e41920435,0.7687011133920034,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,122701.0,435.0,3.797408390268933,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
43,client_20259bd6705d81d4,content_c7e2f31455cec676,0.7682167446279335,2.3666666666666667,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,3105.0,12.0,34.197309218782046,16.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
44,client_8ddc46da5414ffd8,content_5913241ddeecf3f1,0.7681884762338478,0.8461538461538461,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,73279.0,459.0,2.5482632836869694,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
45,client_20259bd6705d81d4,content_19c63cf7d7e8797e,0.7671485980591067,2.6333333333333333,General Higher-Decline-Risk Review,Prioritize for diagnostic review of recent traffic trends and on-page content.,P1_High_Priority,3.0,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,14296.0,41.0,38.39166095284416,45.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
46,client_20259bd6705d81d4,content_0fa98c13beba3506,0.7661039689046001,2.1666666666666665,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,7602.0,11.0,36.221481698279256,11.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
47,client_08a6a72ff48e62c0,content_2b221276b528248b,0.7655876093608027,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,40280.0,396.0,3.7686963838265943,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
48,client_20259bd6705d81d4,content_8740f83e1cd9601d,0.763141579169594,2.3666666666666667,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,4223.0,12.0,33.80593522811618,15.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
49,client_08a6a72ff48e62c0,content_d4f022405d7854b5,0.7630440083357518,1.1333333333333333,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,9457.0,242.0,6.78555605148199,0.0,HIGH_MODEL_DECLINE_RISK | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
50,client_20259bd6705d81d4,content_b956947c822af734,0.762669002644678,2.4,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,12618.0,16.0,35.26685791724744,18.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | HIGH_W04_BASELINE_SIGNAL
51,client_62f4a7e64f5e0096,content_6478f978b79a1b49,0.7624822797111692,1.0,High Search Impression / Thin Traffic,"Review click-through performance, search intent alignment, content depth, and internal linking.",P1_High_Priority,3.5,MODEL_SCORE_DOES_NOT_AUTHORIZE_REDIRECT_OR_CANONICAL_CHANGE | MANDATORY_SENIOR_EDITOR_SIGNOFF,48527.0,425.0,2.6783737961886525,0.0,HIGH_MODEL_DECLINE_RISK | LOW_CTR_HIGH_SEARCH_IMPR | THIN_PAGEVIEWS_HIGH_SEARCH_DEMAND
